,division,district,thana,lat,long,geohash
272,Rajshahi,Natore,Bagati Para,,,
274,Barisal,Barisal,Agailjhara,,,
275,Khulna,Bagerhat,Bagerhat Sadar,,,
282,Rajshahi,Sirajganj,Sirajganj Sadar,,,
283,Mymensingh,Mymensingh,Dhobaura,,,
284,Mymensingh,Sherpur,Nalitabari,,,
285,Khulna,Jessore,Bagher Para,,,
286,Dhaka,Tangail,Tangail Sadar,,,
287,Chittagong,Comilla,Comilla Sadar Dakshin,,,
291,Khulna,Jessore,Abhaynagar,,,
294,Chittagong,Chittagong,Raozan,,,
295,Khulna,Meherpur,Mujib Nagar,,,
296,Khulna,Kushtia,Kumarkhali,,,
298,Rajshahi,Sirajganj,Chauhali,,,
299,Mymensingh,Jamalpur,Dewanganj,,,
300,Dhaka,Madaripur,Madaripur Sadar,,,
303,Khulna,Kushtia,Bheramara,,,
304,Rajshahi,Naogaon,Niamatpur,,,
305,Dhaka,Gazipur,Kaliganj,,,
306,Rangpur,Nilphamari,Kishoreganj,,,
310,Khulna,Bagerhat,Morrelganj,,,
311,Chittagong,Chittagong,Banshkhali,,,
312,Chittagong,Cox's Bazar,Teknaf,,,
313,Dhaka,Rajbari,Balia Kandi,,,
314,Dhaka,Tangail,Sakhipur,,,
316,Khulna,Bagerhat,Fakirhat,,,
318,Sylhet,Habiganj,Bahubal,,,
319,Dhaka,Gopalganj,Muksudpur,,,
322,Dhaka,Narayanganj,Sonargaon,,,
326,Chittagong,Chittagong,Chandanaish,,,
327,Khulna,Bagerhat,Rampal,,,
330,Dhaka,Kishoreganj,Mithamain,,,
332,Rangpur,Thakurgaon,Pirganj,,,
334,Barisal,Barisal,Banari Para,,,
335,Chittagong,Bandarban,Naikhongchhari,,,
336,Chittagong,Comilla,Manoharganj,,,
337,Mymensingh,Sherpur,Sherpur Sadar,,,
339,Dhaka,Kishoreganj,Bajitpur,,,
342,Khulna,Khulna,Dacope,,,
346,Mymensingh,Netrakona,Durgapur,,,
347,Chittagong,Chandpur,Hajiganj,,,
348,Chittagong,Feni,Parshuram,,,
352,Rajshahi,Rajshahi,Mohanpur,,,
353,Chittagong,Comilla,Burichang,,,
358,Rajshahi,Naogaon,Naogaon Sadar,,,
361,Rangpur,Nilphamari,Dimla,,,
362,Sylhet,Sylhet,Balaganj,,,
363,Rangpur,Nilphamari,Jaldhaka,,,
368,Chittagong,Comilla,Titas,,,
370,Rangpur,Rangpur,Mitha Pukur,,,
371,Dhaka,Manikganj,Singair,,,
373,Barisal,Pirojpur,Zianagar,,,
377,Mymensingh,Mymensingh,Phulpur,,,
379,Rajshahi,Bogra,Gabtali,,,
382,Dhaka,Manikganj,Ghior,,,
385,Barisal,Patuakhali,Kala Para,,,
386,Dhaka,Manikganj,Saturia,,,
387,Dhaka,Tangail,Dhanbari,,,
390,Chittagong,Feni,Feni Sadar,,,
395,Sylhet,Sunamganj,Tahirpur,,,
397,Chittagong,Bandarban,Thanchi,,,
399,Dhaka,Tangail,Kalihati,,,
401,Rangpur,Kurigram,Nageshwari,,,
404,Rajshahi,Bogra,Sonatola,,,
406,Dhaka,Munshiganj,Gazaria,,,
408,Khulna,Jhenaidah,Kotchandpur,,,
409,Chittagong,Rangamati,Rangamati Sadar,,,
410,Dhaka,Munshiganj,Serajdikhan,,,
411,Sylhet,Habiganj,Lakhai,,,
412,Rangpur,Gaibandha,Sundarganj,,,
414,Khulna,Meherpur,Gangni,,,
416,Barisal,Barguna,Bamna,,,
417,Chittagong,Lakshmipur,Roypur,,,
419,Barisal,Barisal,Wazirpur,,,
420,Rangpur,Nilphamari,Domar,,,
425,Rangpur,Gaibandha,Sadullapur,,,
428,Rangpur,Kurigram,Raumari,,,
430,Dhaka,Narayanganj,Bandar,,,
431,Chittagong,Bandarban,Bandarban Sadar,,,
433,Dhaka,Madaripur,Shib Char,,,
437,Rajshahi,Rajshahi,Puthia,,,
438,Mymensingh,Sherpur,Nakla,,,
439,Chittagong,Lakshmipur,Lakshmipur Sadar,,,
441,Rajshahi,Sirajganj,Ullah Para,,,
442,Chittagong,Rangamati,Rajasthali,,,
443,Rangpur,Nilphamari,Saidpur,,,
447,Sylhet,Sunamganj,Dowarabazar,,,
448,Rangpur,Panchagarh,Tentulia,,,
452,Mymensingh,Netrakona,Atpara,,,
457,Chittagong,Rangamati,Jurai Chhari,,,
459,Khulna,Jessore,Jhikargachha,,,
460,Rajshahi,Natore,Baraigram,,,
462,Chittagong,Chittagong,Sitakunda,,,
465,Mymensingh,Jamalpur,Jamalpur Sadar,,,
474,Rajshahi,Pabna,Faridpur,,,
479,Chittagong,Cox's Bazar,Pekua,,,
480,Khulna,Bagerhat,Chitalmari,,,
482,Rangpur,Kurigram,Phulbari,,,
485,Dhaka,Narsingdi,Manohardi,,,
486,Sylhet,Sylhet,Kanaighat,,,
488,Rajshahi,Sirajganj,Belkuchi,,,
489,Dhaka,Shariatpur,Zanjira,,,
491,Rajshahi,Natore,Natore Sadar,,,
493,Barisal,Barisal,Hizla,,,
495,Mymensingh,Netrakona,Kalmakanda,,,
496,Chittagong,Lakshmipur,Ramgati,,,
500,Chittagong,Cox's Bazar,Maheshkhali,,,
501,Barisal,Bhola,Tazumuddin,,,
502,Barisal,Bhola,Burhanuddin,,,
506,Chittagong,Comilla,Debidwar,,,
507,Rangpur,Panchagarh,Boda,,,
508,Sylhet,Sylhet,Zakiganj,,,
512,Rangpur,Lalmonirhat,Lalmonirhat Sadar,,,
514,Mymensingh,Mymensingh,Gaffargaon,,,
521,Rajshahi,Rajshahi,Paba,,,
524,Dhaka,Kishoreganj,Karimganj,,,
527,Mymensingh,Mymensingh,Muktagachha,,,
536,Sylhet,Sylhet,Dakshin Surma,,,
539,Chittagong,Brahamanbaria,Nabinagar,,,
542,Sylhet,Habiganj,Baniachong,,,
543,Chittagong,Comilla,Meghna,,,
547,Rangpur,Lalmonirhat,Hatibandha,,,
